Name,Ticker,"Sub-Sector","Market Cap","Percentage Upside","Percentage Buy Reco’s","Price to Intrinsic Value Rank","Price Momentum Rank","Earnings Quality Rank","Value Momentum Rank","Fundamental Score","Basis","Rollover Cost","Fair Value","Highest Put OI Strike","Future Open Interest","Percentage Rollover","Call Open Interest","Fair Value Spread","1D Change in Put OI","1W Change in Future Volume","Highest 1W OI Change PE Strike","Put Call Ratio","1 D Change in Call OI","Put Open Interest","Highest 1D OI Change PE Strike","Future Volume","Calendar Spread","1W Change in Put OI","Highest 1D OI Change CE Strike","Highest 1W OI Change CE Strike","Highest Call OI Strike","1D Change in Future OI","% Price above 1M SMA","Beta","% Price above 1M EMA","1W Change in On Balance Volume","Relative Volume","Super Trend","Alpha","ADX Rating – Trend Strength","Volatility","Stochastic %K","William %R","RSI – 14D","Stochastic %D"
Shree Cement Ltd,SHREECEM,"Cement","76409.82367326","0.5311920938851037","23.6842105263158","19","48","78","49","6.137837837837838","51","0.2991268792587306","21206.836433885368","19000","136300","2.568740955137482","4850","21.613566114632704","-3.8461538461538445","-0.2416666666666667","20000","0.2577319587628866","-0.01020408163265307","1250",,"54600","63.5","19.04761904761905","21000","22000","22000","1.2253991830672106","5.3551800021939","1.0775510330613","3.37531799362103","32.350729463647056","1.1298317910975406","19529.225","1.19458773181253","39.4760872915134","40.391330286967296","80.0553435114504","-19.94465648854959","73.5786498532449","77.3670150972484"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","75267.0495375","-4.930593653696363","23.8095238095238","7","72","90","14","6.477777777777778","8.100000000000136","0.29878806190618845","1483.3054247651487","1400","3375500","1.4137880775397171","893500","6.044575234851436","-2.332361516034986","-0.1444281524926686","1300","0.3749300503637381","-0.08873023967363591","335000","1480","583500","4.449999999999818","35.35353535353536","1480","1640","1500","-0.14790711433220194","1.8063977374065","0.55669010419681","1.1565607423209112","4.559409044383395","0.6888525688155411","1402.6857142857143","18.290306255187","37.1066645984659","36.3399625580461","67.08860759493672","-32.91139240506329","68.8796680497925","71.6962025316456"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","74731.26686222","-17.5546218487395","50","55","45","29","80","5.9313253012048195","0.6000000000000227","0.4492218835231757","311.4816218553246","250","41604300","1.0983763132760267","8051400","0.16837814467544376","67.9805942995755","1.917882117882118","310","0.9289067739771966","0.2646310432569974","7479000","310","39430800","1.3999999999999773","76.43312101910828","345","350","300","6.35698509110989","9.6578590188786","1.19605935768341","8.265404514695462","8.339270387908565","1.0026982818578798","268.93571428571425","2.67612363427447","28.4428782160795","55.3553425448939","96.7667436489608","-3.233256351039208","80.0704225352112","86.88528275135684"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","73743.74703227999","32.40446961579674","86.4864864864865","81","27","7","85","4.96875","1.4500000000000455","0.058582308142937495","340.4217243199408","400","23160600","7.118842274521269","18874800","0.9782756800592551","1.391614629794824","-0.0006133088009813159","300","0.5419607095174518","-0.04403318442884496","10229400","330","17598600","0.19999999999998863","8.103481072855235","310","350","400","1.8039401851412284","-6.0658602800478","1.27497229540786","-5.545620395942185","-6.399550443420991","0.7070285711960249","361.67857142857144","-12.9849404730012","39.1240108968691","55.5893325115604","21.54178674351584","-78.45821325648416","31.3735691987513","10.19869712063366"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","72329.48517564","17.082455856147746","82.9268292682927","53","82","8","67","6.3","1.900000000000091","0.3697313285678886","607.4918048498075","600","14340200","2.9037583762260852","5174400","1.058195150192546","-1.350649350649347","0.026358806702084125","550","0.5137987012987013","0.09381473808819174","2658600","550","7032200","2.2499999999998863","-4.95495495495496","610","610","700","2.573603044261974","-1.8552297904525","1.35392301999826","-2.1103755084208586","-6.741529132607639","0.7785000918870809","660.6785714285714","-8.56990018432937","19.2874199499149","51.954941568361605","24.93100275988951","-75.06899724011049","57.7358490566038","50.930280197138906"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","71101.152876195","17.478413068844805","100","74","44","61","85","6.657142857142857","1.75","0.11373329542224457","350.4356006052751","300","27577500","0.8785298072613178","4547500","1.264399394724876","0.3086419753086433","0.04358974358974366","335","0.5360087960417812","-0.006010928961748596","2437500","335","4070000","0.4000000000000341","-3.9408866995073835","340","355","400","-0.1448357020005453","1.1679338556272","1.29518524974011","0.3461667228454868","-1.18480947934716","0.9521403540177281","329.9357142857143","-7.78809834222858","22.2262745549635","46.776599430660795","54.48954489544893","-45.51045510455107","66.8079096045198","57.09137340747702"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","69853.05920124","60.771026156941645","75",,"2","7","65","5.125000000000001","0.4000000000000057","0.26809651474529306","74.30296203718079","70","53927700","6.803247004252029","21500400","0.2970379628192177","3.942486085343222","-0.023196605374823154","66","0.5941145281018028","0.06493506493506485","12773700","75","19682100","0.19999999999998863","0.9459459459459474","75","75","80","-1.1802799247963236","-1.6176080615222002","0.809043460799795","-3.0677640488151803","-13.169157613201563","0.7146897919931303","80.4","-35.3140707096356","41.4826165370647","37.2086220847469","26.66666666666673","-73.33333333333327","50.5154639175258","41.912109522729025"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","69309.232015305","9.956387891226273","60","26","53","60","42","4.75909090909091","3.1499999999999773","0.007342143906013881","678.7906040013881","650","5630000","1.822283929191253","1244000","2.2093959986118534","16.83501683501682","0.7966417910447761","660","0.2789389067524116","0.02386831275720169","347000","640","1926000","0.049999999999954525","54.91071428571428","730","710","760","-0.40686361224129275","-4.4369803580177","0.648747581537921","-3.8228170096380243","-11.015932725157256","1.2425095125911412","675.3321428571429","-0.080595140992355","26.3003215219274","41.6255223663425","3.2777458309373446","-96.72225416906267","42.1138211382114","12.770071555597847"
Coal India Ltd,COALINDIA,"Mining - Coal","68621.979921145","67.94032549728755","70.8333333333333","96","5","22","72","7.250000000000001","1.75","-0.574712643678166","111.50451243719786","100","46708800","7.095840867992767","31420400","1.5954875628021483","-0.6143838091796194","-0.025738585496866584","102.5","0.6476683937823834","0.005208333333333259","20350000","95","16106100","-0.6500000000000057","24.06947890818858","117.5","125","120","-0.44949136503430465","-4.2973785990546","0.545263172287745","-4.746610187040556","4.476757918671797","1.0761388465575046","120.08214285714286","-32.8213647922912","52.0886338039266","42.510892077768595","14.705882352941169","-85.29411764705883","37.1937639198218","10.104211175995802"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","66845.179124335","-10.09504269378149","56.5217391304348","47","93","86","82","4.333333333333334","-3.950000000000273","0.128646222887066","3351.09362950571","3200","2057400","2.6415094339622645","867900","-8.593629505709941","6.986027944111783","0.48659700136301676","3350","0.741099204977532","0.04177169607490105","643200","3500","1963200","4.300000000000182","6.7729083665338585","4000","3900","3400","2.449955183746644","5.803469450827","1.06138828479661","5.078316774034297","5.3267050243610985","0.9154059099916279","3133.535714285714","-6.65066051442723","38.9647460611898","46.3270659569683","87.52577319587627","-12.474226804123735","82.516756348532","87.81782409946737"
